date,WETH,LDO,WETH_price,LDO_price,WETH_usd_volume,LDO_usd_volume,daily_volume_usd,fees_usd
2023-02-20,3281626.747214654,5729.462477635621,1703.27,2.926,5589496389.728304,16764.40720956183,5589513154.135513,16768539.46240654
2023-02-21,2787974.426838478,4646.234404059846,1659.76,2.794,4627368434.689432,12981.578924943211,4627381416.268357,13882144.248805072
2023-02-22,4081666.9688071585,7029.587571944699,1643.14,2.907,6706750263.125794,20435.011071643243,6706770698.136866,20120312.0944106
2023-02-23,5970060.498513555,11023.430138250613,1650.53,2.996,9853763954.611578,33026.196694198836,9853796980.808271,29561390.942424815
2023-02-24,6064950.6307105925,10921.195070575117,1607.8,2.871,9751227624.05649,31354.75104762116,9751258978.807537,29253776.936422613
2023-02-25,3719308.7300783466,6536.656114196966,1594.58,2.929,5930735314.80833,19145.865758482912,5930754460.6740885,17792263.382022265
2023-02-26,3972477.6684715296,7512.0038976961505,1641.36,3.12,6520265945.922429,23437.45216081199,6520289383.37459,19560868.15012377
2023-02-27,4531243.917142298,8696.668482007753,1633.45,3.268,7401560376.456087,28420.712599201335,7401588797.168686,22204766.391506057
2023-02-28,4479203.695796278,8530.471181001643,1605.23,3.003,7190152148.60306,25617.004956547935,7190177765.608016,21570533.29682405
2023-03-01,3461132.4765314218,6426.103973229335,1665.22,3.021,5763547022.569654,19413.26010312582,5763566435.829758,17290699.307489272
2023-03-02,3409090.6358587123,6140.123491929894,1647.86,3.019,5617704095.206138,18537.032822136352,5617722632.23896,16853167.89671688
2023-03-03,7828386.692334411,14407.945125076767,1569.45,2.82,12286261494.28424,40630.40525271648,12286302124.689493,36858906.37406848
2023-03-04,5556351.734412489,9395.04094498265,1566.73,2.553,8705302952.85608,23985.539532540704,8705326938.39561,26115980.815186832
2023-03-05,7102518.516167543,11865.737700453472,1564.58,2.624,11112458420.025414,31135.69572598991,11112489555.72114,33337468.66716342
2023-03-06,4179607.276132503,6868.942638645071,1565.84,2.59,6544596257.259318,17790.561434090734,6544614047.820752,19633842.143462256
